Name,Symbol
AIR LIQUIDE Tun,AL
SFBT,SFBT
BIAT,BIAT
ATTIJARI BANK,BS
POULINA GROUP HLD,POULA
BT,BT
AMEN BANK,AB
UIB,UIB
Sah,SAH
BH Bank,BH
One Tech Ho,OTH
Carthage Cement,CC
Societe Delice Holding,DH
BNA,BNA
S.T.B,STB
Societe Tunisienne De Verreries,STVR
Union Bancaire pour le Commerce et l’Industrie,UBCI
ATB,ATB
STAR,STAR
Ennakl Automobiles,NAKL
SPDIT-SICAF,SPDI
ASTREE SA,AST
TPR,TPR
Automobile Reseau Tunisien Et Service,ARTES
EL WIFACK LEASING,WIFAK
City Cars,CITY
Unite de Fabrication de Medicaments,UMED
Ste Assurances Magrebia,ASSMA
TUNISIE LEASING,TLS
Ste Assurances Multirisq Ittihad,AMI
Assurances Maghrebia Vie,AMV
Tunis Re,TRE
ICF,ICF
Smart Tunisie,SMART
CIL,CIL
BH Assurance,BHASS
Societe Tunisienne Industrielle Du Papier Et Du Ca,STPAP
ATL,ATL
Societe Nouvelle Maison de la Ville de Tunis,MNP
Euro-Cycles,ECYCL
Land Or,LNDOR
Societe Tunisienne des Marches de Gros,MGR
Tawasol Group Holding SA,TGH
TELNET,TLNET
Best Lease,BL
SOTRAPIL,STPIL
MAGASIN GENERAL,SMG
Hannibal Lease,HANL
STE Ind d’appareillage Et De Materiels Elec,SIAM
Manufacture de Panneaux Bois du Sud,MPBS
ATTIJARI LEASING,TJL
PLACEMENT DE TUNISIE,PLTU
TUNIS AIR,TAIR
Sotemail,SOTEM
Ste Chimique Alkimia,ALKM
Societe Tunisienne D Automobiles,STAS
SIMPAR,SIMP
Atelier Meuble Interieurs,SAMAA
Les Ciments de Bizerte,SCB
SITS,SITS
STE Tunisienne d’entreprises De Telecommunications,SOTE
SOMOCER,SOMOC
BH Leasing,BHL
New Body Li,NBL
ASSAD,ASSAD
Universal Auto Distributors Holding,UADH
Societe Tunisienne des Industries de Pneumatiques,STIP
Sanimed SA,SMD
OfficePlast,PLAST
BTEI,BTEI
Sitex,SITX
TUN INVEST - SICAR,TINV
Cellcom,CELL
Societe Tunisienne du sucre,STSU
ESSOUKNA,SOKNA
Ste Tunisienne Des Industries Pharmaceutique,SIPHA
Generale Industrielle De Filtration G If,GIF
ELECTROSTAR,LSTR
Ae Tech,AETEC
Maghreb Inter Publicite,MIP
